"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "Handlebars", "JSON with Comments", "comment", "blank", "total"
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\README.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\app.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 2, 18, 97
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\config\mongoCollections.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\config\mongoConnection.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\config\settings.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\data\contacts.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 1, 10, 38
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\data\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\data\offers.js", "JavaScript", 0, 0, 435, 0, 0, 0, 0, 30, 136, 601
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\data\posts.js", "JavaScript", 0, 0, 290, 0, 0, 0, 0, 30, 83, 403
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\data\reviews.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 10, 27, 160
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\data\users.js", "JavaScript", 0, 0, 289, 0, 0, 0, 0, 56, 96, 441
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\helpers.js", "JavaScript", 0, 0, 174, 0, 0, 0, 0, 2, 16, 192
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\offerHelpers.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 3, 22, 81
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\bootstrap.min.css", "CSS", 0, 0, 0, 0, 9367, 0, 0, 2, 2041, 11410
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\css\main-offer.css", "CSS", 0, 0, 0, 0, 694, 0, 0, 10, 156, 860
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\css\main.css", "CSS", 0, 0, 0, 0, 744, 0, 0, 15, 157, 916
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\css\offer.css", "CSS", 0, 0, 0, 0, 523, 0, 0, 26, 94, 643
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\allProducts.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 9, 48, 182
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\jquery-3.5.1.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\myOffers.js", "JavaScript", 0, 0, 253, 0, 0, 0, 0, 12, 62, 327
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\myPosts.js", "JavaScript", 0, 0, 203, 0, 0, 0, 0, 38, 63, 304
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\offersList.js", "JavaScript", 0, 0, 214, 0, 0, 0, 0, 9, 47, 270
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\productList.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 6, 20, 79
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\productSignup.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 14, 43
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\productUpdate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\reviewRegister.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 1, 12, 68
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\uploads.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 21, 10, 74
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\userLogin.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 4, 12, 99
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\userLogout.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\userRegister.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 5, 13, 117
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\js\userUpdate.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 6, 15, 145
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\landing.css", "CSS", 0, 0, 0, 0, 192, 0, 0, 1, 25, 218
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\profile.css", "CSS", 0, 0, 0, 0, 332, 0, 0, 28, 62, 422
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\public\reviewFormat.css", "CSS", 0, 0, 0, 0, 122, 0, 0, 331, 20, 473
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\contacts.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\index.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 1, 5, 28
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\landing.js", "JavaScript", 0, 0, 140, 0, 0, 0, 0, 19, 23, 182
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\offers.js", "JavaScript", 0, 0, 307, 0, 0, 0, 0, 54, 127, 488
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\posts.js", "JavaScript", 0, 0, 171, 0, 0, 0, 0, 41, 45, 257
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\reviews.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 9, 22, 129
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\routes\users.js", "JavaScript", 0, 0, 282, 0, 0, 0, 0, 24, 64, 370
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\contact.html", "HTML", 0, 0, 0, 138, 0, 0, 0, 26, 15, 179
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\createOffer.html", "HTML", 0, 0, 0, 215, 0, 0, 0, 18, 39, 272
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\landingpage.html", "HTML", 0, 0, 0, 111, 0, 0, 0, 9, 17, 137
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\list.html", "HTML", 0, 0, 0, 121, 0, 0, 0, 5, 15, 141
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\login.html", "HTML", 0, 0, 0, 120, 0, 0, 0, 9, 28, 157
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\logout.html", "HTML", 0, 0, 0, 97, 0, 0, 0, 9, 14, 120
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\myOffers.html", "HTML", 0, 0, 0, 121, 0, 0, 0, 42, 24, 187
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\offerDetail.html", "HTML", 0, 0, 0, 198, 0, 0, 0, 19, 53, 270
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\offerList.html", "HTML", 0, 0, 0, 125, 0, 0, 0, 13, 32, 170
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\privacy_policy.html", "HTML", 0, 0, 0, 131, 0, 0, 0, 5, 14, 150
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\register.html", "HTML", 0, 0, 0, 125, 0, 0, 0, 9, 27, 161
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\reviewRegister.html", "HTML", 0, 0, 0, 117, 0, 0, 0, 19, 20, 156
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\uploadProduct.html", "HTML", 0, 0, 0, 138, 0, 0, 0, 5, 23, 166
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\userprofile.html", "HTML", 0, 0, 0, 135, 0, 0, 0, 33, 35, 203
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\static\userupdate.html", "HTML", 0, 0, 0, 115, 0, 0, 0, 9, 26, 150
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\tasks\seed.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 9, 9, 117
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\contact.handlebars", "Handlebars", 0, 0, 0, 0, 0, 155, 0, 0, 20, 175
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\error.handlebars", "Handlebars", 0, 0, 0, 0, 0, 6, 0, 0, 6, 12
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\landing\landing.handlebars", "Handlebars", 0, 0, 0, 0, 0, 20, 0, 0, 9, 29
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\landing\userLogin.handlebars", "Handlebars", 0, 0, 0, 0, 0, 31, 0, 0, 8, 39
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\landing\userRegister.handlebars", "Handlebars", 0, 0, 0, 0, 0, 37, 0, 43, 11, 91
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\layouts\main.handlebars", "Handlebars", 0, 0, 0, 0, 0, 107, 0, 0, 20, 127
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\createOffer.handlebars", "Handlebars", 0, 0, 0, 0, 0, 176, 0, 0, 39, 215
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\editOffer.handlebars", "Handlebars", 0, 0, 0, 0, 0, 216, 0, 0, 61, 277
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\myOffers.handlebars", "Handlebars", 0, 0, 0, 0, 0, 45, 0, 0, 14, 59
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\myPosts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 35, 0, 0, 13, 48
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\offerDetail.handlebars", "Handlebars", 0, 0, 0, 0, 0, 199, 0, 1, 64, 264
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\offerList.handlebars", "Handlebars", 0, 0, 0, 0, 0, 300, 0, 3, 72, 375
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\othersPosts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 197, 0, 0, 75, 272
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\offers\postDetail.handlebars", "Handlebars", 0, 0, 0, 0, 0, 175, 0, 1, 61, 237
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\reviewRegister-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\userLogin-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\userRegister-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\partials\userUpdate-scripts.handlebars", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\delete.handlebars", "Handlebars", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\details.handlebars", "Handlebars", 0, 0, 0, 0, 0, 53, 0, 4, 2, 59
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\error.handlebars", "Handlebars", 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\list.handlebars", "Handlebars", 0, 0, 0, 0, 0, 34, 0, 2, 5, 41
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\list2.handlebars", "Handlebars", 0, 0, 0, 0, 0, 47, 0, 2, 17, 66
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\registration-v2.handlebars", "Handlebars", 0, 0, 0, 0, 0, 201, 0, 0, 35, 236
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\registration.handlebars", "Handlebars", 0, 0, 0, 0, 0, 50, 0, 0, 14, 64
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\update.handlebars", "Handlebars", 0, 0, 0, 0, 0, 221, 0, 0, 61, 282
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\products\upload.handlebars", "Handlebars", 0, 0, 0, 0, 0, 224, 0, 0, 61, 285
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\reviews\reviewRegister.handlebars", "Handlebars", 0, 0, 0, 0, 0, 34, 0, 0, 9, 43
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\user\logout.handlebars", "Handlebars", 0, 0, 0, 0, 0, 6, 0, 1, 5, 12
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\user\userProfile.handlebars", "Handlebars", 0, 0, 0, 0, 0, 66, 0, 0, 13, 79
"d:\OneDrive - The Chinese University of Hong Kong\Coding\JavaScript\cs546\final project\upload\views\user\userUpdate.handlebars", "Handlebars", 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"Total", "-", 6, 37, 3984, 2007, 11974, 2689, 6, 1103, 4689, 26495